V,H,S,M
0.338156758,0,1,1
0.320241334,0.181818182,1,1
0.287008750,0.272727273,1,1
0.256283622,0.454545455,1,1
0.262839599,0.545454545,1,1
0.240966463,0.727272727,1,1
0.254410486,0.818181818,1,1
0.234924175,1,1,1
0.353473918,0,4,1
0.335347054,0.181818182,4,1
0.335347054,0.272727273,4,1
0.330029894,0.454545455,4,1
0.335347054,0.545454545,4,1
0.305135614,0.727272727,4,1
0.256283622,0.818181818,4,1
0.235649303,1,4,1
0.315347054,0,2,1
0.283987607,0.181818182,2,1
0.303262478,0.272727273,2,1
0.274924175,0.454545455,2,1
0.260029894,0.545454545,2,1
0.259818455,0.727272727,2,1
0.283987607,0.818181818,2,1
0.265860743,1,2,1
0.323051038,0,5,1
0.305135614,0.181818182,5,1
0.314199046,0.272727273,5,1
0.302114470,0.454545455,5,1
0.323262478,0.545454545,5,1
0.314199046,0.727272727,5,1
0.323262478,0.818181818,5,1
0.274199046,1,5,1
0.347431630,0,3,1
0.341691591,0.181818182,3,1
0.296072182,0.272727273,3,1
0.310398761,0.454545455,3,1
0.296072182,0.545454545,3,1
0.317431630,0.727272727,3,1
0.329304766,0.818181818,3,1
0.308156758,1,3,1
0.338368198,0,6,1
0.295014984,0.181818182,6,1
0.271993840,0.272727273,6,1
0.271903031,0.454545455,6,1
0.292205280,0.545454545,6,1
0.285347054,0.727272727,6,1
0.302114470,0.909090909,6,1
0.999998728,0,1,2
0.999998728,0.090909091,1,2
0.999998728,0.272727273,1,2
0.906343265,0.363636364,1,2
0.658609459,0.545454545,1,2
0.610271155,0.636363636,1,2
0.453171669,0.818181818,1,2
0.442446541,0.909090909,1,2
0.999998728,0,4,2
0.999998728,0.090909091,4,2
0.975829576,0.272727273,4,2
0.815708945,0.363636364,4,2
0.655588315,0.545454545,4,2
0.628398019,0.636363636,4,2
0.504531116,0.818181818,4,2
0.474319677,0.909090909,4,2
0.719032338,0,2,2
0.622355731,0.090909091,2,2
0.531721412,0.272727273,2,2
0.504531116,0.363636364,2,2
0.438065949,0.545454545,2,2
0.398791077,0.636363636,2,2
0.362537350,0.818181818,2,2
0.999998728,0,5,2
0.912385552,0.181818182,5,2
0.957702712,0.272727273,5,2
0.758307210,0.454545455,5,2
